id,Marca,modelo
1,Abarth,124  1.4 Spider
1,Abarth,500 1.4 T-Jet
1,Abarth,500 C
1,Abarth,500 C 1.4 T-Jet 
1,Abarth,500 Vita
1,Abarth,595 1.4 T-Jet 
1,Abarth,595 C 1.4 T-Jet 
1,Abarth,695 Tributo Biposto
1,Abarth,695 Tributo Ferrari
1,Abarth,Grande Punto
1,Abarth,Punto 1.4
1,Abarth,Punto Evo 1.4
2,Alfa Romeo,156 Crosswagon  04 1.9 SW  JTD
2,Alfa Romeo,4C 1.7 Tbi
2,Alfa Romeo,4C SPIDER 1.7 Tbi
2,Alfa Romeo,ALFA  33 1.3
2,Alfa Romeo,ALFA  33 1.5
2,Alfa Romeo,ALFA  33 1.7
2,Alfa Romeo,ALFA 145 1.4
2,Alfa Romeo,ALFA 145 1.4 16v
2,Alfa Romeo,ALFA 145 1.4 TS 16v
2,Alfa Romeo,ALFA 145 1.6
2,Alfa Romeo,ALFA 145 1.6  16v 
2,Alfa Romeo,ALFA 145 1.7 16v 
2,Alfa Romeo,ALFA 145 1.8 16v
2,Alfa Romeo,ALFA 145 1.9 JTD
2,Alfa Romeo,ALFA 145 1.9 TDS
2,Alfa Romeo,ALFA 145 2.0 
2,Alfa Romeo,ALFA 145 2.0 TS 16v
2,Alfa Romeo,ALFA 146 1.4
2,Alfa Romeo,ALFA 146 1.4 16v
2,Alfa Romeo,ALFA 146 1.6
2,Alfa Romeo,ALFA 146 1.6 16v
2,Alfa Romeo,ALFA 146 1.7 16v 
2,Alfa Romeo,ALFA 146 1.8 16v
2,Alfa Romeo,ALFA 146 1.9 JTD
2,Alfa Romeo,ALFA 146 16v 1.4
2,Alfa Romeo,ALFA 146 2.0 16v
2,Alfa Romeo,ALFA 146 2.0 TDS
2,Alfa Romeo,ALFA 147 1.6 
2,Alfa Romeo,ALFA 147 1.9 JTD
2,Alfa Romeo,ALFA 147 2.0
2,Alfa Romeo,ALFA 147 3.2 V6 GTA 
2,Alfa Romeo,ALFA 155 1.6
2,Alfa Romeo,ALFA 155 1.7
2,Alfa Romeo,ALFA 155 1.7
2,Alfa Romeo,ALFA 155 1.8
2,Alfa Romeo,ALFA 155 1.8
2,Alfa Romeo,ALFA 155 2.0
2,Alfa Romeo,ALFA 155 2.0 16v
2,Alfa Romeo,ALFA 155 2.0 Q4
2,Alfa Romeo,ALFA 155 2.0 TD
2,Alfa Romeo,ALFA 155 2.0 TD  (1993)
2,Alfa Romeo,ALFA 155 2.5 TD
2,Alfa Romeo,ALFA 155 2.5 TD 
2,Alfa Romeo,ALFA 155 2.5 V6 
2,Alfa Romeo,ALFA 155 2.5 V6 
2,Alfa Romeo,ALFA 156 1.6 TS
2,Alfa Romeo,ALFA 156 1.6 TS 
2,Alfa Romeo,ALFA 156 1.6 TS 
2,Alfa Romeo,ALFA 156 1.8 TS
2,Alfa Romeo,ALFA 156 1.9 JTD
2,Alfa Romeo,ALFA 156 1.9 JTD
2,Alfa Romeo,ALFA 156 1.9 JTD
2,Alfa Romeo,ALFA 156 2.0 JTS
2,Alfa Romeo,ALFA 156 2.0 JTS
2,Alfa Romeo,ALFA 156 2.0 TS 
2,Alfa Romeo,ALFA 156 2.4 JTD
2,Alfa Romeo,ALFA 156 2.4 JTD
2,Alfa Romeo,ALFA 156 2.4 JTD
2,Alfa Romeo,ALFA 156 2.4 JTD 20v 
2,Alfa Romeo,ALFA 156 2.5 V6 
2,Alfa Romeo,ALFA 156 2.5 V6 24v
2,Alfa Romeo,ALFA 156 2.5 V6 24v 
2,Alfa Romeo,ALFA 156 2.5 V6 24v 
2,Alfa Romeo,ALFA 156 3.2 V6 GTA
2,Alfa Romeo,ALFA 156 3.2 V6 GTA 24v
2,Alfa Romeo,ALFA 156 Sportwagon 1.6  TS 16v
2,Alfa Romeo,ALFA 156 Sportwagon 1.8  TS 16v
2,Alfa Romeo,ALFA 156 Sportwagon 1.9 JTD
2,Alfa Romeo,ALFA 156 Sportwagon 2.0  TS 16v
2,Alfa Romeo,ALFA 156 Sportwagon 2.0 JTS
2,Alfa Romeo,ALFA 156 Sportwagon 2.4 JTD
2,Alfa Romeo,ALFA 156 Sportwagon 2.5 V6
2,Alfa Romeo,ALFA 156 Sportwagon 2.5 V6 24v
2,Alfa Romeo,ALFA 156 Sportwagon 3.2 V6 GTA 24v
2,Alfa Romeo,ALFA 159 1.8 TB
2,Alfa Romeo,ALFA 159 1.8 Tbi
2,Alfa Romeo,ALFA 159 1.9 JTD
2,Alfa Romeo,ALFA 159 1.9 JTDM
2,Alfa Romeo,ALFA 159 1.9 JTS
2,Alfa Romeo,ALFA 159 2.0 JTDM
2,Alfa Romeo,ALFA 159 2.2 JTS
2,Alfa Romeo,ALFA 159 2.4 JTD
2,Alfa Romeo,ALFA 159 2.4 JTDM
2,Alfa Romeo,ALFA 159 3.2 JTS
2,Alfa Romeo,ALFA 159 Sportwagon 1.8 TB
2,Alfa Romeo,ALFA 159 Sportwagon 1.9 JTD
2,Alfa Romeo,ALFA 159 Sportwagon 1.9 JTDM
2,Alfa Romeo,ALFA 159 Sportwagon 1.9 JTS
2,Alfa Romeo,ALFA 159 Sportwagon 2.0 JTDM 
2,Alfa Romeo,ALFA 159 Sportwagon 2.2 JTS
2,Alfa Romeo,ALFA 159 Sportwagon 2.4 JTD
2,Alfa Romeo,ALFA 159 Sportwagon 2.4 JTDM
2,Alfa Romeo,ALFA 159 Sportwagon 3.2 JTS
2,Alfa Romeo,ALFA 164 2.0
2,Alfa Romeo,ALFA 164 2.0 TS
2,Alfa Romeo,ALFA 164 2.5 TD 
2,Alfa Romeo,ALFA 164 3.0 24v
